"","Time-to-event models parameters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Distnames","1. Exponential","1. Exponential","1. Exponential","2. Weibull","2. Weibull","2. Weibull","2. Weibull","2. Weibull","2. Weibull","3. Gompertz","3. Gompertz","3. Gompertz","3. Gompertz","3. Gompertz","3. Gompertz","4. Lognormal","4. Lognormal","4. Lognormal","4. Lognormal","4. Lognormal","4. Lognormal","5. Loglogistic","5. Loglogistic","5. Loglogistic","5. Loglogistic","5. Loglogistic","5. Loglogistic","6. Gamma","6. Gamma","6. Gamma","6. Gamma","6. Gamma","6. Gamma","7. Generalisedgamma","7. Generalisedgamma","7. Generalisedgamma","7. Generalisedgamma","7. Generalisedgamma","7. Generalisedgamma","7. Generalisedgamma","7. Generalisedgamma","7. Generalisedgamma","8. 1-knot spline hazard","8. 1-knot spline hazard","8. 1-knot spline hazard","8. 1-knot spline hazard","8. 1-knot spline hazard","8. 1-knot spline hazard","8. 1-knot spline hazard","8. 1-knot spline hazard","8. 1-knot spline hazard","9. 1-knot spline odds","9. 1-knot spline odds","9. 1-knot spline odds","9. 1-knot spline odds","9. 1-knot spline odds","9. 1-knot spline odds","9. 1-knot spline odds","9. 1-knot spline odds","9. 1-knot spline odds","10. 1-knot spline normal","10. 1-knot spline normal","10. 1-knot spline normal","10. 1-knot spline normal","10. 1-knot spline normal","10. 1-knot spline normal","10. 1-knot spline normal","10. 1-knot spline normal","10. 1-knot spline normal","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","11. 2-knot spline hazard","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","12. 2-knot spline odds","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal","13. 2-knot spline normal"
"Parnames","rate","groupMedium","groupPoor","shape","scale","groupMedium","groupPoor","shape(groupMedium)","shape(groupPoor)","shape","rate","groupMedium","groupPoor","shape(groupMedium)","shape(groupPoor)","meanlog","sdlog","groupMedium","groupPoor","sdlog(groupMedium)","sdlog(groupPoor)","shape","scale","groupMedium","groupPoor","shape(groupMedium)","shape(groupPoor)","shape","rate","groupMedium","groupPoor","shape(groupMedium)","shape(groupPoor)","mu","sigma","Q","groupMedium","groupPoor","sigma(groupMedium)","sigma(groupPoor)","Q(groupMedium)","Q(groupPoor)","gamma0","gamma1","gamma2","groupMedium","groupPoor","gamma1(groupMedium)","gamma1(groupPoor)","gamma2(groupMedium)","gamma2(groupPoor)","gamma0","gamma1","gamma2","groupMedium","groupPoor","gamma1(groupMedium)","gamma1(groupPoor)","gamma2(groupMedium)","gamma2(groupPoor)","gamma0","gamma1","gamma2","groupMedium","groupPoor","gamma1(groupMedium)","gamma1(groupPoor)","gamma2(groupMedium)","gamma2(groupPoor)","gamma0","gamma1","gamma2","gamma3","groupMedium","groupPoor","gamma1(groupMedium)","gamma1(groupPoor)","gamma2(groupMedium)","gamma2(groupPoor)","gamma3(groupMedium)","gamma3(groupPoor)","gamma0","gamma1","gamma2","gamma3","groupMedium","groupPoor","gamma1(groupMedium)","gamma1(groupPoor)","gamma2(groupMedium)","gamma2(groupPoor)","gamma3(groupMedium)","gamma3(groupPoor)","gamma0","gamma1","gamma2","gamma3","groupMedium","groupPoor","gamma1(groupMedium)","gamma1(groupPoor)","gamma2(groupMedium)","gamma2(groupPoor)","gamma3(groupMedium)","gamma3(groupPoor)"
"est","-2.80703426596042","0.818021897705415","1.53752320421143","0.522842941227738","2.26626166011077","-0.447145140906987","-1.0384947611494","-0.193739409990849","-0.258211641329158","0.221650478494698","-3.36564422440595","1.06685398302713","1.9540432716812","-0.0847240786449997","-0.138758583249688","2.15766237442877","-0.0231614685999281","-0.616405276964592","-1.29461457120387","0.0430707930704261","-0.035860060637656","0.626195241489201","2.09215585275195","-0.559328133555928","-1.24678430375861","-0.11895946715016","-0.0445631814775907","0.73015274298734","-1.49809910454751","0.246905208221392","0.834663901723389","-0.223796618769466","-0.245015909583078","1.81202668452514","0.232571933905214","-1.22829849622959","-0.703779456070316","-1.15639058357376","-0.111742534469648","-0.25180602716003","0.130949690051665","0.706102215564812","-4.00136633813836","5.6833377867188","0.536250067753147","1.64674405897244","2.73825540341805","-2.6129321967876","-3.04904061829405","-0.286491264831098","-0.310397814385352","-4.04938420554543","5.58333050698946","0.503636291904315","1.68520718881056","2.81744587826071","-2.44335863461621","-2.85984152125106","-0.276947889796271","-0.328430882627409","-2.18016958332222","2.00284034323824","0.139218946688677","0.781205993016211","1.39912022785405","-0.473783646903097","-0.633856883380268","-0.0507824578949095","-0.0772268411595449","-3.96795731492222","5.63984006983465","0.279702037940537","0.270382566702073","2.90247734867938","2.86911828369701","0.712150185798323","-2.71157430390951","1.62558931203339","0.0544896849024886","-1.88689815231438","-0.385249249864506","-4.02181385463425","5.51298469028751","0.253594378216224","0.261000907055042","3.02152127338","2.89343892485355","1.02461045991812","-2.61959681784953","1.79800817824397","-0.0114006330146751","-2.08011436907876","-0.339766961864635","-2.48228026850668","1.14225635475982","-0.365809481175584","0.49523555926318","1.56808628447049","1.6405830653726","1.4036793322265","0.142074590608774","1.09430738766642","0.291118242762134","-1.16338699899632","-0.336454948567092"
"L95%","-3.08148409638671","0.482435217530195","1.21843775412205","0.285099481188222","2.02632969957374","-0.732231450035213","-1.30926116854052","-0.484038290874892","-0.530410024127346","0.0571602339449101","-3.90407791869821","0.42303048053768","1.35352109718387","-0.28930707019359","-0.340846650134077","1.89389741374292","-0.24007912718879","-0.931509869641886","-1.59148086932483","-0.220247133683414","-0.284754378446871","0.391782427051591","1.85992368043017","-0.843458208142798","-1.51566964810662","-0.403971927836322","-0.315010184058766","0.405934218281987","-2.03166885220797","-0.392738298699925","0.234149851000199","-0.625065263418969","-0.628451038088121","1.21730205890556","-0.0167415480059677","-2.75400048318196","-1.46345286233188","-1.81090504714622","-0.400994988251085","-0.529348758369139","-1.70410631547035","-0.92448950292365","-4.73770053562234","2.64644917367807","0.150055889229282","0.820991737836784","1.95714716539158","-5.82097360318367","-6.14912993158983","-0.697166192462662","-0.707431674075276","-4.80148276693224","2.43687222992677","0.0982285645837802","0.829396999203495","1.99607911132171","-5.78076760428378","-6.08709878609533","-0.711304759517133","-0.750656228109428","-2.50671606712457","0.754805677342373","-0.0310962285329218","0.385894197715775","1.01360740690849","-1.83508589902055","-1.92969361352523","-0.239492293815422","-0.258776697176672","-6.28781655158215","-3.03976894856775","-3.07997020321157","-2.72701657931901","0.426340260521176","0.50016506840458","-8.37974665313164","-11.4498887838783","-1.93987304072985","-3.35506052315714","-5.09482914872332","-3.44707105325475","-6.38286922843101","-3.19401125927887","-3.16478351235076","-2.8150076523084","0.476023369423404","0.466818826933685","-8.1402776177313","-11.3923504712003","-1.86740340964076","-3.50737596727574","-5.4173933250502","-3.52620694284819","-3.33826667417339","-1.19234806325495","-1.45945948448448","-0.579241470667562","0.585187849392162","0.728057978573135","-1.19705371841042","-2.24037019084187","-0.164446720142045","-0.873347562734092","-2.41694436431475","-1.5093327606133"
"U95%","-2.53258443553412","1.15360857788063","1.85660865430082","0.760586401267254","2.5061936206478","-0.162058831778762","-0.767728353758272","0.0965594708931939","0.0139867414690312","0.386140723044487","-2.82721053011369","1.71067748551658","2.55456544617854","0.119858912903591","0.063329483634701","2.42142733511462","0.193756189988934","-0.301300684287298","-0.997748273082907","0.306388719824266","0.213034257171559","0.860608055926812","2.32438802507372","-0.275198058969057","-0.977898959410607","0.166052993536001","0.225883821103584","1.05437126769269","-0.964529356887055","0.886548715142709","1.43517795244658","0.177472025880036","0.138419218921966","2.40675131014472","0.481885415816395","0.297403490722772","0.0558939501912524","-0.501876120001299","0.177509919311789","0.025736704049079","1.96600569557368","2.33669393405327","-3.26503214065438","8.72022639975954","0.922444246277012","2.47249638010809","3.51936364144451","0.595109209608465","0.0510486950017328","0.124183662800467","0.086636045304572","-3.29728564415862","8.72978878405214","0.909044019224849","2.54101737841763","3.6388126451997","0.894050335051368","0.367415743593218","0.157408979924591","0.0937944628546101","-1.85362309951987","3.25087500913411","0.309534121910276","1.17651778831665","1.7846330487996","0.887518605214359","0.661979846764697","0.137927378025603","0.104323014857582","-1.64809807826229","14.3194490882371","3.63937427909264","3.26778171272315","5.37861443683758","5.23807149898945","9.80404702472829","6.02674017605926","5.19105166479663","3.46403989296212","1.32103284409456","2.67657255352573","-1.66075848083749","14.2199806398539","3.6719722687832","3.33700946641848","5.56701917733661","5.32005902277342","10.1894985375675","6.15315683550121","5.46341976612869","3.48457470124639","1.25716458689268","2.84667301911892","-1.62629386283997","3.47686077277459","0.72784052213331","1.56971258919392","2.55098471954882","2.55310815217207","4.00441238286341","2.52451937205941","2.35306149547489","1.45558404825836","0.0901703663221056","0.836422863479117"
"se","0.140027996734186","0.171220840190067","0.162801690544464","0.12129991260799","0.122416515012309","0.145454871302202","0.138148664734094","0.148114395557206","0.138879277856764","0.0839251363021292","0.274716116489565","0.328487414854481","0.306394494610194","0.104380995345993","0.103108051208305","0.134576432407122","0.110674308456625","0.160770603522717","0.151465180208722","0.134348349679309","0.126989230298343","0.119600572401651","0.118487979449415","0.144966987571227","0.137188921056173","0.145417192833289","0.137985700101852","0.165420654288929","0.272234465464258","0.326354724865734","0.306390349751306","0.204732662342093","0.195633762420907","0.303436507155585","0.127203093463826","0.77843368499978","0.387595594742442","0.33394208706649","0.147580494367766","0.14160603633451","0.936270268227732","0.831949837522711","0.375687616350142","1.54946143755463","0.197041466868838","0.421309946330179","0.398531934355809","1.63678589591477","1.58170728531182","0.209531874499183","0.202572018068534","0.383730806953225","1.60536535460934","0.206844478020177","0.436645875310765","0.419072377562971","1.70279096758544","1.6465900854814","0.221614720039253","0.215425053119587","0.166608410347389","0.636764081248538","0.0868970943165402","0.201693397643326","0.196693829063408","0.694554727972164","0.661153337697203","0.0962822977406889","0.0926291796426715","1.18362340071485","4.42845332203349","1.71414998829202","1.52931338007442","1.26335846356854","1.20867180926713","4.63880811619279","4.45840563851962","1.81914687253804","1.73959839821228","1.63672956325355","1.56218268679501","1.20464222425538","4.44242650285722","1.74410240062099","1.56942096060264","1.29874728517216","1.23809422880254","4.67604922842506","4.47597696822447","1.87014231730635","1.78369366061666","1.70272463284809","1.62576455798055","0.436735783115719","1.19114659066689","0.55799494885389","0.548212639827099","0.501488008367148","0.465582579066425","1.32692900030366","1.21555538787603","0.642233284763066","0.594126124092781","0.639581836812476","0.598418043034321"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Knots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cov_matrix","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
